"","Treatment","Tile.number","Assigned.location.code","crevice.kind","LOB.crown","LOB.targetcrevice","LOB.othercrevice","LOB.opencrevice","LOB.outside","LOB.overall","otherMA.crown","otherMA.targetcrevice","otherMA.othercrevice","otherMA.opencrevice","otherMA.outside","otherMA.overall","unknown.crown","unknown.targetcrevice","unknown.othercrevice","unknown.opencrevice","unknown.outside","unknown.overall","Number.crowns","Area.crown.cm2","Number.targetcrevice","Area.targetcrevice.cm2.nosides","Area.targetcrevice.cm2.inclsides","Area.othercrevice.cm2.nosides","Area.othercrevice.cm2.inclsides","Number.opencrevices","Area.opencrevice.cm2.nosides","Area.opencrevice.cm2.inclsides","Area.outside.nosides.cm2","Area.outside.inclsides.cm2","Area.overall.cm2.nosides","Area.overall.cm2.inclsides","Proportion.LOB.target.overall","comment","identity.other.crevice","Observer","LOB.target.percm2.nosides","LOB.crown.percm2","LOB.other.percm2.nosides","LOB.open.percm2.nosides","LOB.outside.percm2.nosides","LOB.overall.percm2.nosides","LOB.target.percm2.inclsides","LOB.other.percm2.inclsides","LOB.open.percm2.inclsides","LOB.outside.percm2.inclsides","LOB.overall.percm2.inclsides","propLOB","propLOBcrown"
"60","Partial","90","Partial_red+3","large",3,3,3,10,11,30,14,5,5,13,7,44,1,1,0,0,2,4,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,NA,"type1, less crowns","medium","Fredi",0.193581358373297,0.0833333333333333,0.333333333333333,0.404040404040404,0.175291429970118,0.202702702702703,0.0952460777665176,0.0909090909090909,0.134680134680135,0.132286840201345,0.116324156649864,0.818798781866163,1.14295293319821
"61","Open","90.2","Open_yellow+1","small",5,3,5,6,8,27,5,9,2,6,9,31,1,3,3,3,4,14,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.3125,0.144675925925926,0.465230531032737,0.416666666666667,0.101661349778073,0.182432432432432,0.0646551724137931,0.173929014699089,0.116279069767442,0.0817221805439101,0.104166666666667,0.620689655172414,0.446896551724138
"62","Partial","91","Partial_green+2","large",5,3,5,12,9,34,16,12,1,11,3,43,0,0,0,1,2,3,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,NA,"type2, more crowns","medium","Laura",0.193581358373297,0.124007936507937,0.555555555555556,0.666666666666667,0.138073572963599,0.22972972972973,0.0952460777665176,0.151515151515152,0.222222222222222,0.100916501238358,0.137096774193548,0.694736096649893,0.768064371109198
"63","Caged","95","Caged_yellow+3","small",9,2,0,1,4,16,17,0,0,6,21,44,2,0,0,0,3,5,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.208333333333333,0.260416666666667,0,0.0694444444444444,0.0508306748890366,0.108108108108108,0.0431034482758621,0,0.0193798449612403,0.0408610902719551,0.0617283950617284,0.698275862068966,0.16551724137931
"64","Caged","96","Caged_yellow+3","medium",4,3,1,1,7,16,43,5,1,5,8,62,5,2,0,0,1,8,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.166666666666667,0.115740740740741,0.0930461062065475,0.037037037037037,0.121332634457359,0.108108108108108,0.0454545454545455,0.0347858029398178,0.0123456790123457,0.0910360211328418,0.0557103064066852,0.815909090909091,0.392727272727273
"65","Caged","97","Caged_yellow+3","large",5,0,0,0,3,8,27,8,5,11,4,55,4,0,0,0,0,4,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,NA,"type1, less crowns","medium","Laura",0,0.138888888888889,0,0,0.0478067536282139,0.0540540540540541,0,0,0,0.0360782291458215,0.0310197751066305,0,0
"66","Open","98","Open_red+1","large",4,3,0,0,2,9,5,1,1,1,3,11,1,0,0,0,0,1,26,37.44,1,15.49736,31.49736,9,33,8,18,54,68.06264,92.06264,148,248,NA,"type2, more crowns, two missing","medium","Laura",0.193581358373297,0.106837606837607,0,0,0.0293846962151336,0.0608108108108108,0.0952460777665176,0,0,0.0217243389935374,0.0362903225806452,2.62455858734404,0.891503287894604
"67","Open","99","Open_red+1","medium",3,8,3,6,3,23,42,17,2,21,27,109,0,0,0,0,0,0,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"most 'others' are bubbles","middle","Laura",0.444444444444444,0.0868055555555556,0.279138318619642,0.222222222222222,0.0519997004817252,0.155405405405405,0.121212121212121,0.104357408819453,0.0740740740740741,0.0390154376283608,0.08008356545961,1.51357048748353,1.39636363636364
"68","Open","99.2","Open_red+3","large",3,3,2,3,7,18,14,29,7,12,12,74,0,0,0,0,1,1,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,NA,"type2, more crowns","medium","Laura",0.193581358373297,0.0744047619047619,0.222222222222222,0.166666666666667,0.107390556749466,0.121621621621622,0.0952460777665176,0.0606060606060606,0.0555555555555556,0.0784906120742781,0.0725806451612903,1.31227929367202,1.280107285182
"69","Open","100","Open_red+1","small",5,6,3,5,1,20,36,9,9,21,45,120,1,0,0,2,2,5,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.625,0.144675925925926,0.279138318619642,0.347222222222222,0.0127076687222592,0.135135135135135,0.129310344827586,0.104357408819453,0.0968992248062015,0.0102152725679888,0.0771604938271605,1.67586206896552,0.893793103448276
"70","Open","100.2","Open_yellow+1","medium",10,13,7,19,4,53,33,25,12,24,18,112,4,2,0,2,1,9,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.722222222222222,0.289351851851852,0.651322743445832,0.703703703703704,0.0693329339756336,0.358108108108108,0.196969696969697,0.243500620578724,0.234567901234568,0.0520205835044811,0.184540389972145,1.06735277301315,0.680727272727273
"71","Open","102","Open_red+2","medium",4,13,0,5,4,26,22,9,4,15,7,57,0,0,0,0,0,0,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.722222222222222,0.115740740740741,0,0.185185185185185,0.0693329339756336,0.175675675675676,0.196969696969697,0,0.0617283950617284,0.0520205835044811,0.0905292479108635,2.17575757575758,1.70181818181818
"72","Partial","103","Partial_green+1","large",0,1,1,1,1,4,3,2,6,6,7,24,0,1,0,0,1,2,23,33.12,1,15.49736,31.49736,9,33,11,24.75,74.25,65.63264,86.03264,148,257.9,NA,"type1, less crowns, also 2 missing","medium","Laura",0.0645271194577657,0,0.111111111111111,0.0404040404040404,0.015236321440064,0.027027027027027,0.0317486925888392,0.0303030303030303,0.0134680134680135,0.0116234954547483,0.0155098875533152,2.04699695466541,Inf
"73","Partial","104","Partial_green+1","medium",1,0,3,1,6,11,15,7,1,9,8,40,0,0,0,0,0,0,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0,0.0289351851851852,0.279138318619642,0.037037037037037,0.10399940096345,0.0743243243243243,0,0.104357408819453,0.0123456790123457,0.0780308752567216,0.0383008356545961,0,0
"74","Partial","105","Partial_green+1","small",6,1,1,3,3,14,4,6,0,3,14,27,1,1,0,0,1,3,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.104166666666667,0.173611111111111,0.0930461062065475,0.208333333333333,0.0381230061667775,0.0945945945945946,0.021551724137931,0.0347858029398178,0.0581395348837209,0.0306458177039663,0.0540123456790123,0.399014778325123,0.124137931034483
"75","Caged","106","Caged_green+2","small",1,0,0,0,2,3,9,2,5,1,10,27,2,0,0,0,1,3,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0,0.0289351851851852,0,0,0.0254153374445183,0.0202702702702703,0,0,0,0.0204305451359775,0.0115740740740741,0,0
"76","Caged","107","Caged_green+2","medium",3,2,2,7,3,17,8,3,1,4,3,19,0,0,0,0,0,0,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.111111111111111,0.0868055555555556,0.186092212413095,0.259259259259259,0.0519997004817252,0.114864864864865,0.0303030303030303,0.0695716058796356,0.0864197530864197,0.0390154376283608,0.0591922005571031,0.511942959001783,0.349090909090909
"77","Caged","108","Caged_green+2","large",0,1,1,3,0,5,6,2,3,2,2,15,0,1,0,1,0,2,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,NA,"type1, less crowns; lots of turf on top","medium","Laura",0.0645271194577657,0,0.111111111111111,0.121212121212121,0,0.0337837837837838,0.0317486925888392,0.0303030303030303,0.0404040404040404,0,0.0193873594416441,1.63759756373233,Inf
"78","Partial","115","Partial_yellow+2","small",3,5,0,2,2,12,11,7,3,11,11,43,0,0,0,0,0,0,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.520833333333333,0.0868055555555556,0,0.138888888888889,0.0254153374445183,0.0810810810810811,0.107758620689655,0,0.0387596899224806,0.0204305451359775,0.0462962962962963,2.32758620689655,1.24137931034483
"79","Partial","117","Partial_yellow+2","large",2,6,5,6,7,26,24,9,8,6,4,51,0,0,2,1,0,3,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,NA,"type2, more crowns","medium","Laura",0.387162716746594,0.0496031746031746,0.555555555555556,0.333333333333333,0.107390556749466,0.175675675675676,0.190492155533035,0.151515151515152,0.111111111111111,0.0784906120742781,0.104838709677419,1.81700209893049,3.84032185554599
"80","Partial","118","Partial_yellow+2","medium",0,2,1,4,4,11,3,8,0,8,4,23,0,1,0,2,0,3,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.111111111111111,0,0.0930461062065475,0.148148148148148,0.0693329339756336,0.0743243243243243,0.0303030303030303,0.0347858029398178,0.0493827160493827,0.0520205835044811,0.0383008356545961,0.791184573002755,Inf
"81","Caged","119","Caged_yellow+1","large",5,2,3,4,6,20,49,4,3,9,18,83,0,1,0,1,2,4,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,NA,"type1, less crowns","medium","Laura",0.129054238915531,0.138888888888889,0.333333333333333,0.161616161616162,0.0956135072564278,0.135135135135135,0.0634973851776784,0.0909090909090909,0.0538720538720539,0.0721564582916429,0.0775494377665762,0.818798781866163,0.457181173279284
