Date,Reef,Video_code,colour,Species,Individual,fishlength.cm,tile.kind,tile.number,Location,number.bites,length.video.h:min:sec
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,d2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Ctenochaetus striatus,4,17,large,71,d2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Ctenochaetus striatus,4,17,large,71,d2,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Ctenochaetus striatus,27,16,large,71,d2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Ctenochaetus striatus,30,12,large,71,d2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,d3,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,d4,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,d4,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,d4,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,d4,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,9,13,large,71,d4,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,16,9,large,71,d4,3,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Acanthurus nigrofuscus,34,9,large,71,d4,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#6,red,Ctenochaetus striatus,31,14,large,71,d5,1,0:11:28
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,7,15,large,71,d6,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,13,14,large,71,d6,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#6,red,Ctenochaetus striatus,31,14,large,71,d6,2,0:11:28
19.04.2018,LighthouseReef,red-topleft#6,red,Zebrasoma scopas,22,10,large,71,d6,1,0:11:28
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,d7,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,15,10,large,71,d7,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#6,red,Ctenochaetus striatus,31,14,large,71,d7,3,0:11:28
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,6,18,large,71,d8,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,15,10,large,71,d8,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,16,9,large,71,d8,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Zebrasoma scopas,15,10,large,71,d8,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Acanthurus nigrofuscus,36,9,large,71,d8,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#9,red,Zebrasoma scopas,26,10,large,71,d8,6,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Acanthurus nigrofuscus,1,9,large,71,d9,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,16,9,large,71,d9,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,14,13,large,71,d9,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Ctenochaetus striatus,27,16,large,71,e1,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,e2,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,e3,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,e3,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,16,9,large,71,e3,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Acanthurus nigrofuscus,35,8,large,71,e3,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#13,red,Ctenochaetus striatus,42,16,large,71,e3,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,e4,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,e4,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,13,14,large,71,e4,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Acanthurus nigrofuscus,35,8,large,71,e4,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,15,10,large,71,e6,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,e6,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,e7,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,15,10,large,71,e7,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,e8,3,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,6,18,large,71,e8,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,16,9,large,71,e8,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Acanthurus nigrofuscus,30,10,large,71,e8,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Zebrasoma scopas,15,10,large,71,e8,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#9,red,Zebrasoma scopas,28,10,large,71,e8,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,14,13,large,71,e9,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,3,18,large,71,f2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,f2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,13,14,large,71,f2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Ctenochaetus striatus,4,17,large,71,f2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Zebrasoma scopas,14,10,large,71,f2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Ctenochaetus striatus,28,15,large,71,f2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#6,red,Pomacentrus bankanensis,2,5,large,71,f2,1,0:11:28
19.04.2018,LighthouseReef,red-topleft#13,red,Ctenochaetus striatus,40,16,large,71,f2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#13,red,Ctenochaetus striatus,43,16,large,71,f2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,f4,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,f4,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,f4,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Ctenochaetus striatus,4,17,large,71,f4,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Zebrasoma scopas,15,10,large,71,f4,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Ctenochaetus striatus,28,15,large,71,f4,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#13,red,Ctenochaetus striatus,42,16,large,71,f4,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,f5,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Acanthurus nigrofuscus,34,9,large,71,f5,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Acanthurus nigrofuscus,35,8,large,71,f5,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,f6,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,f6,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,13,14,large,71,f6,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Ctenochaetus striatus,24,15,large,71,f6,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Zebrasoma scopas,15,10,large,71,f6,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Zebrasoma scopas,18,10,large,71,f6,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Ctenochaetus striatus,28,15,large,71,f6,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Acanthurus nigrofuscus,36,9,large,71,f6,3,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,f7,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Ctenochaetus striatus,4,17,large,71,f7,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Zebrasoma scopas,15,10,large,71,f7,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Zebrasoma scopas,18,10,large,71,f7,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#6,red,Zebrasoma scopas,21,10,large,71,f7,1,0:11:28
19.04.2018,LighthouseReef,red-topleft#6,red,Acanthurus nigrofuscus,38,9,large,71,f7,1,0:11:28
19.04.2018,LighthouseReef,red-topleft#13,red,Ctenochaetus striatus,42,16,large,71,f7,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,f8,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,13,8,large,71,f8,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,12,14,large,71,f8,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#3,red,Zebrasoma scopas,11,9,large,71,f8,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#3,red,Ctenochaetus striatus,17,16,large,71,f8,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Ctenochaetus striatus,4,17,large,71,f8,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Zebrasoma scopas,15,10,large,71,f8,5,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Acanthurus nigrofuscus,34,9,large,71,f8,5,0:26:05
19.04.2018,LighthouseReef,red-topleft#13,red,Zebrasoma scopas,34,10,large,71,f8,3,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,14,13,large,71,f9,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Ctenochaetus striatus,28,15,large,71,f9,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,3,18,large,71,g2,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,g2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,g3,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,8,14,large,71,g3,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#3,red,Ctenochaetus striatus,19,16,large,71,g3,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Zebrasoma scopas,14,10,large,71,g3,3,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Ctenochaetus striatus,28,15,large,71,g3,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#13,red,Ctenochaetus striatus,40,16,large,71,g3,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,g4,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Ctenochaetus striatus,4,17,large,71,g5,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Ctenochaetus striatus,24,15,large,71,g5,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Acanthurus nigrofuscus,31,9,large,71,g5,5,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Acanthurus nigrofuscus,35,8,large,71,g5,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#13,red,Ctenochaetus striatus,40,16,large,71,g5,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,g7,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Zebrasoma scopas,4,10,large,71,g7,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,g7,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#3,red,Ctenochaetus striatus,17,16,large,71,g7,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Ctenochaetus striatus,21,16,large,71,g7,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Ctenochaetus striatus,4,17,large,71,g7,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Acanthurus nigrofuscus,28,9,large,71,g7,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Ctenochaetus striatus,28,15,large,71,g7,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Acanthurus nigrofuscus,34,9,large,71,g7,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Zebrasoma scopas,19,10,large,71,g7,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#6,red,Acanthurus nigrofuscus,38,9,large,71,g7,2,0:11:28
19.04.2018,LighthouseReef,red-topleft#6,red,Ctenochaetus striatus,32,16,large,71,g7,1,0:11:28
19.04.2018,LighthouseReef,red-topleft#9,red,Zebrasoma scopas,25,10,large,71,g7,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#13,red,Ctenochaetus striatus,40,16,large,71,g7,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#13,red,Zebrasoma scopas,34,10,large,71,g8,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,14,13,large,71,g9,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Acanthurus nigrofuscus,28,9,large,71,g9,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,19,9,large,71,h2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,h2,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#3,red,Ctenochaetus striatus,19,16,large,71,h2,3,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Acanthurus nigrofuscus,31,9,large,71,h2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Ctenochaetus striatus,28,15,large,71,h2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#6,red,Ctenochaetus striatus,32,16,large,71,h2,1,0:11:28
19.04.2018,LighthouseReef,red-topleft#11,red,Zebrasoma scopas,31,10,large,71,h2,3,0:26:05
19.04.2018,LighthouseReef,red-topleft#13,red,Ctenochaetus striatus,40,16,large,71,h2,3,0:26:05
19.04.2018,LighthouseReef,red-topleft#13,red,Ctenochaetus striatus,44,16,large,71,h2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#13,red,Zebrasoma scopas,35,10,large,71,h2,5,0:26:05
19.04.2018,LighthouseReef,red-topleft#13,red,Ctenochaetus striatus,44,16,large,71,h3,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Zebrasoma scopas,1,10,large,71,h4,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,h4,1,0:26:05
