"","colour.in.videos","Treatment","Crevice.kind","tile.number","Location","number.LOB.before","number.otherMA.before","number.unknown.before","number.Lob.after","number.otherMA.after","number.unknown.after","number.LOB.removed","number.otherMA.removed","number.unknown.removed","Bites.Acanthurus.nigrofuscus","Bites.Chlorurus.sordidus","Bites.Ctenochaetus.binotatus","Bites.Ctenochaetus.striatus","Bites.Naso.lituratus","Bites.Pomacentrus.bankanensis","Bites.Scarus.niger","Bites.unident.wrasse","Bites.Zebrasoma.scopas"
"224","red","accessible","large","71","g8",2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"225","red","accessible","large","71","g9",0,3,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0
"226","red","accessible","large","71","h1",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"227","red","accessible","large","71","h2",7,1,0,4,1,0,3,0,0,2,0,0,11,0,0,0,0,8
"228","red","accessible","large","71","h3",3,2,1,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0
"229","red","accessible","large","71","h4",0,1,0,0,1,0,0,0,0,4,0,0,9,0,0,0,0,3
"230","red","accessible","large","71","h5",3,2,0,3,2,0,0,0,0,2,0,0,3,0,0,0,0,0
"231","red","accessible","large","71","h6",1,5,1,1,5,1,0,0,0,6,0,0,9,0,0,0,0,12
"232","red","accessible","large","71","h7",6,2,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,5
"233","red","accessible","large","71","h8",1,2,0,1,2,0,0,0,0,13,0,0,4,0,0,0,0,17
"234","red","accessible","large","71","h9",1,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,4
"235","red","accessible","large","71","i1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"236","red","accessible","large","71","i2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"237","red","accessible","large","71","i3",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238","red","accessible","large","71","i4",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"239","red","accessible","large","71","i5",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"240","red","accessible","large","71","i6",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241","red","accessible","large","71","i7",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"242","red","accessible","large","71","i8",2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3
"243","red","accessible","large","71","i9",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"244","blank","accessible","large","74","a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"245","blank","accessible","large","74","a2",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"246","blank","accessible","large","74","a3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
