"","Unique.location","Species","Bites","colour.in.videos","tile.number","Treatment","Crevice.kind","Location","number.LOB.before","number.otherMA.before","number.unknown.before","number.Lob.after","number.otherMA.after","number.unknown.after","number.LOB.removed","number.otherMA.removed","number.unknown.removed"
"554","71.a6","Ctenochaetus striatus",0,"red",71,"accessible","large","a6",1,0,0,0,0,0,1,0,0
"557","71.b5","Ctenochaetus striatus",1,"red",71,"accessible","large","b5",1,8,0,1,8,0,0,0,0
"558","71.c2","Ctenochaetus striatus",5,"red",71,"accessible","large","c2",2,1,4,2,1,4,0,0,0
"560","71.d2","Ctenochaetus striatus",12,"red",71,"accessible","large","d2",3,7,0,3,7,0,0,0,0
"561","71.d3","Ctenochaetus striatus",1,"red",71,"accessible","large","d3",4,1,0,4,1,0,0,0,0
"562","71.d5","Ctenochaetus striatus",1,"red",71,"accessible","large","d5",2,2,1,2,2,1,0,0,0
"563","71.e1","Ctenochaetus striatus",2,"red",71,"accessible","large","e1",2,1,0,2,1,0,0,0,0
"564","71.e2","Ctenochaetus striatus",2,"red",71,"accessible","large","e2",4,1,0,4,1,0,0,0,0
"566","71.f1","Ctenochaetus striatus",2,"red",71,"accessible","large","f1",1,2,0,1,2,0,0,0,0
"568","71.g1","Ctenochaetus striatus",2,"red",71,"accessible","large","g1",1,0,1,1,0,1,0,0,0
"569","71.g2","Ctenochaetus striatus",3,"red",71,"accessible","large","g2",2,2,0,2,2,0,0,0,0
"570","71.g4","Ctenochaetus striatus",1,"red",71,"accessible","large","g4",4,3,3,4,3,3,0,0,0
"571","71.g8","Ctenochaetus striatus",0,"red",71,"accessible","large","g8",2,2,0,2,2,0,0,0,0
"572","71.h3","Ctenochaetus striatus",1,"red",71,"accessible","large","h3",3,2,1,3,2,1,0,0,0
"573","71.h7","Ctenochaetus striatus",0,"red",71,"accessible","large","h7",6,2,1,6,2,1,0,0,0
"575","71.i4","Ctenochaetus striatus",1,"red",71,"accessible","large","i4",1,0,0,1,0,0,0,0,0
"580","72.d9","Ctenochaetus striatus",0,"red",72,"accessible","small","d9",2,0,0,2,0,0,0,0,0
"581","72.e1","Ctenochaetus striatus",4,"red",72,"accessible","small","e1",2,1,0,2,1,0,0,0,0
"583","72.e4","Ctenochaetus striatus",3,"red",72,"accessible","small","e4",3,2,0,3,2,0,0,0,0
"586","72.e8","Ctenochaetus striatus",2,"red",72,"accessible","small","e8",1,1,0,1,1,0,0,0,0
"588","72.f5","Ctenochaetus striatus",4,"red",72,"accessible","small","f5",1,0,0,1,0,0,0,0,0
"589","72.g2","Ctenochaetus striatus",3,"red",72,"accessible","small","g2",1,3,0,1,3,0,0,0,0
"591","72.h5","Ctenochaetus striatus",2,"red",72,"accessible","small","h5",1,4,0,1,4,0,0,0,0
"593","72.i3","Ctenochaetus striatus",0,"red",72,"accessible","small","i3",1,2,0,0,2,0,1,0,0
"594","72.i4","Ctenochaetus striatus",4,"red",72,"accessible","small","i4",1,0,0,1,0,0,0,0,0
"596","72.i6","Ctenochaetus striatus",4,"red",72,"accessible","small","i6",1,0,0,1,0,0,0,0,0
"600","74.b8","Ctenochaetus striatus",0,"blank",74,"accessible","large","b8",1,0,0,1,0,0,0,0,0
"619","79.f2","Ctenochaetus striatus",0,"blank",79,"accessible","medium","f2",1,0,0,1,0,0,0,0,0
"623","80.b2","Ctenochaetus striatus",0,"black",80,"accessible","large","b2",1,4,0,1,3,0,0,1,0
"624","80.b6","Ctenochaetus striatus",0,"black",80,"accessible","large","b6",1,5,0,1,5,0,0,0,0
"634","80.e2","Ctenochaetus striatus",0,"black",80,"accessible","large","e2",2,0,1,2,0,1,0,0,0
"635","80.e4","Ctenochaetus striatus",0,"black",80,"accessible","large","e4",1,5,0,1,5,0,0,0,0
"636","80.f3","Ctenochaetus striatus",0,"black",80,"accessible","large","f3",1,1,0,1,1,0,0,0,0
"642","80.g4","Ctenochaetus striatus",0,"black",80,"accessible","large","g4",2,2,0,2,2,0,0,0,0
"644","80.g8","Ctenochaetus striatus",0,"black",80,"accessible","large","g8",1,2,0,1,2,0,0,0,0
"645","80.h7","Ctenochaetus striatus",0,"black",80,"accessible","large","h7",1,2,0,1,2,0,0,0,0
"650","107.d5","Naso lituratus",1,"black",107,"accessible","medium","d5",1,0,0,1,0,0,0,0,0
"651","107.e2","Naso lituratus",0,"black",107,"accessible","medium","e2",1,0,0,1,0,0,0,0,0
"653","107.f2","Naso lituratus",0,"black",107,"accessible","medium","f2",1,1,0,1,1,0,0,0,0
"657","107.g2","Naso lituratus",0,"black",107,"accessible","medium","g2",2,0,0,2,0,0,0,0,0
"662","107.i2","Naso lituratus",0,"black",107,"accessible","medium","i2",1,0,0,1,0,0,0,0,0
"668","18.b1","Naso lituratus",0,"blank",18,"accessible","small","b1",1,0,0,0,0,0,1,0,0
"682","18.g7","Naso lituratus",0,"blank",18,"accessible","small","g7",4,0,0,3,0,0,1,0,0
"686","18.i4","Naso lituratus",0,"blank",18,"accessible","small","i4",1,1,0,1,1,0,0,0,0
"687","18.i5","Naso lituratus",0,"blank",18,"accessible","small","i5",1,0,0,1,0,0,0,0,0
"688","18.i6","Naso lituratus",0,"blank",18,"accessible","small","i6",1,2,0,1,2,0,0,0,0
"690","44.b3","Naso lituratus",0,"red",44,"accessible","medium","b3",1,0,0,1,0,0,0,0,0
"697","44.d9","Naso lituratus",0,"red",44,"accessible","medium","d9",1,1,0,0,1,0,1,0,0
"698","44.e4","Naso lituratus",0,"red",44,"accessible","medium","e4",2,1,0,2,1,0,0,0,0
"699","44.e6","Naso lituratus",0,"red",44,"accessible","medium","e6",1,0,0,1,0,0,0,0,0
"701","44.f3","Naso lituratus",0,"red",44,"accessible","medium","f3",1,2,0,1,2,0,0,0,0
"710","6.e7","Naso lituratus",1,"black",6,"accessible","small","e7",1,0,0,1,0,0,0,0,0
"711","6.f6","Naso lituratus",0,"black",6,"accessible","small","f6",4,6,0,4,6,0,0,0,0
"712","6.h3","Naso lituratus",0,"black",6,"accessible","small","h3",3,1,0,3,1,0,0,0,0
"713","6.h6","Naso lituratus",0,"black",6,"accessible","small","h6",3,3,0,3,3,0,0,0,0
