colour.in.videos,tile.number,Treatment,Crevice.kind,Location,Unique.location,number.LOB.before,number.otherMA.before,number.unknown.before,number.Lob.after,number.otherMA.after,number.unknown.after,number.LOB.removed,number.otherMA.removed,number.unknown.removed
green,45,caged control,large,i9,45.i9,0,1,0,0,1,0,0,0,0
red,71,accessible,large,a1,71.a1,0,0,0,0,0,0,0,0,0
red,71,accessible,large,a2,71.a2,0,2,0,0,2,0,0,0,0
red,71,accessible,large,a3,71.a3,1,0,0,0,0,0,1,0,0
red,71,accessible,large,a4,71.a4,0,1,0,0,1,0,0,0,0
red,71,accessible,large,a5,71.a5,0,0,0,0,0,0,0,0,0
red,71,accessible,large,a6,71.a6,1,0,0,0,0,0,1,0,0
red,71,accessible,large,a7,71.a7,0,0,0,0,0,0,0,0,0
red,71,accessible,large,a8,71.a8,0,0,0,0,0,0,0,0,0
red,71,accessible,large,a9,71.a9,0,0,0,0,0,0,0,0,0
red,71,accessible,large,b1,71.b1,3,1,0,3,1,0,0,0,0
red,71,accessible,large,b2,71.b2,3,2,0,3,2,0,0,0,0
red,71,accessible,large,b3,71.b3,0,1,0,0,1,0,0,0,0
red,71,accessible,large,b4,71.b4,1,1,0,0,1,0,1,0,0
red,71,accessible,large,b5,71.b5,1,8,0,1,8,0,0,0,0
red,71,accessible,large,b6,71.b6,2,2,0,1,0,0,1,2,0
red,71,accessible,large,b7,71.b7,0,7,0,0,7,0,0,0,0
red,71,accessible,large,b8,71.b8,2,1,1,2,1,1,0,0,0
red,71,accessible,large,b9,71.b9,0,0,0,0,0,0,0,0,0
red,71,accessible,large,c1,71.c1,2,2,0,2,2,0,0,0,0
red,71,accessible,large,c2,71.c2,2,1,4,2,1,4,0,0,0
red,71,accessible,large,c3,71.c3,1,0,0,1,0,0,0,0,0
red,71,accessible,large,c4,71.c4,0,1,0,0,1,0,0,0,0
red,71,accessible,large,c5,71.c5,2,1,0,1,1,0,1,0,0
red,71,accessible,large,c6,71.c6,1,0,0,1,0,0,0,0,0
red,71,accessible,large,c7,71.c7,1,0,0,1,0,0,0,0,0
red,71,accessible,large,c8,71.c8,0,7,0,0,7,0,0,0,0
red,71,accessible,large,c9,71.c9,0,1,0,0,1,0,0,0,0
red,71,accessible,large,d1,71.d1,1,0,0,1,0,0,0,0,0
red,71,accessible,large,d2,71.d2,3,7,0,3,7,0,0,0,0
red,71,accessible,large,d3,71.d3,4,1,0,4,1,0,0,0,0
red,71,accessible,large,d4,71.d4,2,4,0,2,2,0,0,2,0
red,71,accessible,large,d5,71.d5,2,2,1,2,2,1,0,0,0
red,71,accessible,large,d6,71.d6,1,2,0,1,2,0,0,0,0
red,71,accessible,large,d7,71.d7,1,0,0,1,0,0,0,0,0
red,71,accessible,large,d8,71.d8,0,2,0,0,2,0,0,0,0
red,71,accessible,large,d9,71.d9,1,1,0,1,1,0,0,0,0
red,71,accessible,large,e1,71.e1,2,1,0,2,1,0,0,0,0
red,71,accessible,large,e2,71.e2,4,1,0,4,1,0,0,0,0
red,71,accessible,large,e3,71.e3,7,5,0,7,5,0,0,0,0
red,71,accessible,large,e4,71.e4,1,5,0,1,4,0,0,1,0
red,71,accessible,large,e5,71.e5,2,1,0,1,1,0,1,0,0
red,71,accessible,large,e6,71.e6,2,1,0,2,1,0,0,0,0
red,71,accessible,large,e7,71.e7,0,1,0,0,1,0,0,0,0
red,71,accessible,large,e8,71.e8,2,11,0,2,8,0,0,3,0
red,71,accessible,large,e9,71.e9,0,0,0,0,0,0,0,0,0
red,71,accessible,large,f1,71.f1,1,2,0,1,2,0,0,0,0
red,71,accessible,large,f2,71.f2,2,7,0,1,7,0,1,0,0
red,71,accessible,large,f3,71.f3,2,1,0,2,1,0,0,0,0
red,71,accessible,large,f4,71.f4,2,4,0,2,4,0,0,0,0
red,71,accessible,large,f5,71.f5,0,0,1,0,0,1,0,0,0
red,71,accessible,large,f6,71.f6,0,3,0,0,3,0,0,0,0
red,71,accessible,large,f7,71.f7,0,5,0,0,5,0,0,0,0
red,71,accessible,large,f8,71.f8,3,3,0,2,1,0,1,2,0
red,71,accessible,large,f9,71.f9,0,2,0,0,2,0,0,0,0
red,71,accessible,large,g1,71.g1,1,0,1,1,0,1,0,0,0
red,71,accessible,large,g2,71.g2,2,2,0,2,2,0,0,0,0
red,71,accessible,large,g3,71.g3,3,3,0,3,3,0,0,0,0
red,71,accessible,large,g4,71.g4,4,3,3,4,3,3,0,0,0
red,71,accessible,large,g5,71.g5,9,10,0,9,9,0,0,1,0
red,71,accessible,large,g6,71.g6,9,0,0,9,0,0,0,0,0
red,71,accessible,large,g7,71.g7,0,3,0,0,3,0,0,0,0
red,71,accessible,large,g8,71.g8,2,2,0,2,2,0,0,0,0
red,71,accessible,large,g9,71.g9,0,3,0,0,3,0,0,0,0
red,71,accessible,large,h1,71.h1,1,0,1,1,0,1,0,0,0
red,71,accessible,large,h2,71.h2,7,1,0,4,1,0,3,0,0
red,71,accessible,large,h3,71.h3,3,2,1,3,2,1,0,0,0
red,71,accessible,large,h4,71.h4,0,1,0,0,1,0,0,0,0
red,71,accessible,large,h5,71.h5,3,2,0,3,2,0,0,0,0
red,71,accessible,large,h6,71.h6,1,5,1,1,5,1,0,0,0
red,71,accessible,large,h7,71.h7,6,2,1,6,2,1,0,0,0
red,71,accessible,large,h8,71.h8,1,2,0,1,2,0,0,0,0
red,71,accessible,large,h9,71.h9,1,0,0,1,0,0,0,0,0
red,71,accessible,large,i1,71.i1,0,0,0,0,0,0,0,0,0
red,71,accessible,large,i2,71.i2,0,0,0,0,0,0,0,0,0
red,71,accessible,large,i3,71.i3,1,0,0,1,0,0,0,0,0
red,71,accessible,large,i4,71.i4,1,0,0,1,0,0,0,0,0
red,71,accessible,large,i5,71.i5,1,0,0,1,0,0,0,0,0
red,71,accessible,large,i6,71.i6,2,0,0,2,0,0,0,0,0
red,71,accessible,large,i7,71.i7,0,1,0,0,1,0,0,0,0
red,71,accessible,large,i8,71.i8,2,0,0,2,0,0,0,0,0
red,71,accessible,large,i9,71.i9,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,a1,74.a1,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,a2,74.a2,1,0,0,1,0,0,0,0,0
blank,74,accessible,large,a3,74.a3,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,a4,74.a4,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,a5,74.a5,0,2,0,0,2,0,0,0,0
blank,74,accessible,large,a6,74.a6,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,a7,74.a7,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,a8,74.a8,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,a9,74.a9,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,b1,74.b1,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,b2,74.b2,0,7,0,0,7,0,0,0,0
blank,74,accessible,large,b3,74.b3,1,1,0,1,1,0,0,0,0
blank,74,accessible,large,b4,74.b4,0,2,0,0,0,0,0,2,0
blank,74,accessible,large,b5,74.b5,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,b6,74.b6,0,3,0,0,3,0,0,0,0
blank,74,accessible,large,b7,74.b7,0,2,0,0,0,0,0,2,0
blank,74,accessible,large,b8,74.b8,1,0,0,1,0,0,0,0,0
blank,74,accessible,large,b9,74.b9,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,c1,74.c1,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,c2,74.c2,1,5,0,1,5,0,0,0,0
blank,74,accessible,large,c3,74.c3,0,3,0,0,2,0,0,1,0
blank,74,accessible,large,c4,74.c4,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,c5,74.c5,0,2,0,0,2,0,0,0,0
blank,74,accessible,large,c6,74.c6,0,2,0,0,2,0,0,0,0
blank,74,accessible,large,c7,74.c7,1,1,0,1,1,0,0,0,0
blank,74,accessible,large,c8,74.c8,0,3,0,0,3,0,0,0,0
blank,74,accessible,large,c9,74.c9,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,d1,74.d1,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,d2,74.d2,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,d3,74.d3,0,1,0,0,1,0,0,0,0
blank,74,accessible,large,d4,74.d4,1,1,1,1,0,1,0,1,0
blank,74,accessible,large,d5,74.d5,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,d6,74.d6,0,1,0,0,1,0,0,0,0
blank,74,accessible,large,d7,74.d7,0,2,0,0,2,0,0,0,0
blank,74,accessible,large,d8,74.d8,0,4,0,0,4,0,0,0,0
blank,74,accessible,large,d9,74.d9,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,e1,74.e1,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,e2,74.e2,1,3,0,0,3,0,1,0,0
blank,74,accessible,large,e3,74.e3,0,4,0,0,4,0,0,0,0
blank,74,accessible,large,e4,74.e4,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,e5,74.e5,0,3,0,0,3,0,0,0,0
blank,74,accessible,large,e6,74.e6,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,e7,74.e7,0,4,0,0,4,0,0,0,0
blank,74,accessible,large,e8,74.e8,0,1,0,0,1,0,0,0,0
blank,74,accessible,large,e9,74.e9,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,f1,74.f1,0,1,0,0,1,0,0,0,0
blank,74,accessible,large,f2,74.f2,1,6,0,1,6,0,0,0,0
blank,74,accessible,large,f3,74.f3,2,0,0,2,0,0,0,0,0
blank,74,accessible,large,f4,74.f4,0,3,0,0,3,0,0,0,0
blank,74,accessible,large,f5,74.f5,0,2,0,0,1,0,0,1,0
blank,74,accessible,large,f6,74.f6,0,5,0,0,4,0,0,1,0
blank,74,accessible,large,f7,74.f7,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,f8,74.f8,0,2,0,0,2,0,0,0,0
blank,74,accessible,large,f9,74.f9,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,g1,74.g1,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,g2,74.g2,0,2,0,0,2,0,0,0,0
blank,74,accessible,large,g3,74.g3,0,5,0,0,5,0,0,0,0
blank,74,accessible,large,g4,74.g4,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,g5,74.g5,0,2,0,0,2,0,0,0,0
blank,74,accessible,large,g6,74.g6,3,0,0,3,0,0,0,0,0
blank,74,accessible,large,g7,74.g7,0,1,0,0,1,0,0,0,0
blank,74,accessible,large,g8,74.g8,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,g9,74.g9,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,h1,74.h1,0,1,0,0,1,0,0,0,0
blank,74,accessible,large,h2,74.h2,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,h3,74.h3,0,1,0,0,1,0,0,0,0
blank,74,accessible,large,h4,74.h4,1,3,0,1,3,0,0,0,0
blank,74,accessible,large,h5,74.h5,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,h6,74.h6,0,3,0,0,2,0,0,1,0
blank,74,accessible,large,h7,74.h7,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,h8,74.h8,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,h9,74.h9,1,0,0,1,0,0,0,0,0
