Tile.kind,Location,Location.kind,tile.number
small,a4,outside,6
small,a5,outside,6
small,a6,outside,6
small,a7,outside,6
small,a8,outside,6
small,a9,outside,6
small,b1,outside,6
small,b9,outside,6
small,c1,outside,6
small,c9,outside,6
small,d1,outside,6
small,d9,outside,6
small,e1,outside,6
small,e9,outside,6
small,f1,outside,6
small,f9,outside,6
small,g1,outside,6
small,g9,outside,6
small,h1,outside,6
small,h2,outside,6
small,h3,outside,6
small,h4,outside,6
small,h5,outside,6
small,h6,outside,6
small,h7,outside,6
small,h8,outside,6
small,h9,outside,6
small,i1,outside,6
small,i2,outside,6
small,i3,outside,6
small,i4,outside,6
small,i5,outside,6
small,i6,outside,6
small,i7,outside,6
small,i8,outside,6
small,i9,outside,6
small,a1,outside,18
small,a2,outside,18
small,a3,outside,18
small,a4,outside,18
small,a5,outside,18
small,a6,outside,18
small,a7,outside,18
small,a8,outside,18
small,a9,outside,18
small,b1,outside,18
small,b9,outside,18
small,c1,outside,18
small,c9,outside,18
small,d1,outside,18
small,d9,outside,18
small,e1,outside,18
small,e9,outside,18
small,f1,outside,18
small,f9,outside,18
small,g1,outside,18
small,g9,outside,18
small,h1,outside,18
small,h2,outside,18
small,h3,outside,18
small,h4,outside,18
small,h5,outside,18
small,h6,outside,18
small,h7,outside,18
small,h8,outside,18
small,h9,outside,18
small,i1,outside,18
small,i2,outside,18
small,i3,outside,18
small,i4,outside,18
small,i5,outside,18
small,i6,outside,18
small,i7,outside,18
small,i8,outside,18
small,i9,outside,18
large.more,c5,targetcrevice,71
large.more,c6,targetcrevice,71
large.more,c7,targetcrevice,71
large.more,d5,targetcrevice,71
large.more,d6,targetcrevice,71
large.more,d7,targetcrevice,71
large.more,e5,targetcrevice,71
large.more,e6,targetcrevice,71
large.more,e7,targetcrevice,71
large.less,c4,targetcrevice,80
large.less,c5,targetcrevice,80
large.less,c6,targetcrevice,80
large.less,d4,targetcrevice,80
large.less,d5,targetcrevice,80
large.less,d6,targetcrevice,80
large.less,e4,targetcrevice,80
large.less,e5,targetcrevice,80
large.less,e6,targetcrevice,80
large.less,c4,targetcrevice,74
large.less,c5,targetcrevice,74
large.less,c6,targetcrevice,74
large.less,d4,targetcrevice,74
large.less,d5,targetcrevice,74
large.less,d6,targetcrevice,74
large.less,e4,targetcrevice,74
large.less,e5,targetcrevice,74
large.less,e6,targetcrevice,74
medium,c4,targetcrevice,107
medium,c6,targetcrevice,107
medium,d3,targetcrevice,107
medium,d7,targetcrevice,107
medium,f3,targetcrevice,107
medium,f7,targetcrevice,107
medium,g4,targetcrevice,107
medium,g6,targetcrevice,107
medium,c4,targetcrevice,79
medium,c6,targetcrevice,79
medium,d3,targetcrevice,79
medium,d7,targetcrevice,79
medium,f3,targetcrevice,79
medium,f7,targetcrevice,79
medium,g4,targetcrevice,79
medium,g6,targetcrevice,79
medium,c4,targetcrevice,44
medium,c6,targetcrevice,44
medium,d3,targetcrevice,44
medium,d7,targetcrevice,44
medium,f3,targetcrevice,44
medium,f7,targetcrevice,44
medium,g4,targetcrevice,44
medium,g6,targetcrevice,44
small,c4,targetcrevice,72
small,c6,targetcrevice,72
small,d3,targetcrevice,72
small,d7,targetcrevice,72
small,f3,targetcrevice,72
small,f7,targetcrevice,72
small,g4,targetcrevice,72
small,g6,targetcrevice,72
small,c4,targetcrevice,6
small,c6,targetcrevice,6
small,d3,targetcrevice,6
small,d7,targetcrevice,6
small,f3,targetcrevice,6
small,f7,targetcrevice,6
small,g4,targetcrevice,6
small,g6,targetcrevice,6
small,c4,targetcrevice,18
small,c6,targetcrevice,18
small,d3,targetcrevice,18
small,d7,targetcrevice,18
small,f3,targetcrevice,18
small,f7,targetcrevice,18
small,g4,targetcrevice,18
small,g6,targetcrevice,18
