"","Unique.location","Species","Bites","colour.in.videos","tile.number","Treatment","Crevice.kind","Location","number.LOB.before","number.otherMA.before","number.unknown.before","number.Lob.after","number.otherMA.after","number.unknown.after","number.LOB.removed","number.otherMA.removed","number.unknown.removed"
"126","79.b6","Acanthurus nigrofuscus",0,"blank",79,"accessible","medium","b6",0,3,0,0,1,0,0,2,0
"127","79.c5","Acanthurus nigrofuscus",0,"blank",79,"accessible","medium","c5",0,4,0,0,2,0,0,2,0
"128","79.c7","Acanthurus nigrofuscus",0,"blank",79,"accessible","medium","c7",0,0,0,0,0,0,0,0,0
"129","79.d4","Acanthurus nigrofuscus",0,"blank",79,"accessible","medium","d4",0,0,0,0,0,0,0,0,0
"130","79.d6","Acanthurus nigrofuscus",0,"blank",79,"accessible","medium","d6",0,0,0,0,0,0,0,0,0
"131","79.e3","Acanthurus nigrofuscus",0,"blank",79,"accessible","medium","e3",0,0,0,0,0,0,0,0,0
"132","79.e7","Acanthurus nigrofuscus",0,"blank",79,"accessible","medium","e7",0,0,0,0,0,0,0,0,0
"133","79.f2","Acanthurus nigrofuscus",0,"blank",79,"accessible","medium","f2",1,0,0,1,0,0,0,0,0
"134","79.f8","Acanthurus nigrofuscus",0,"blank",79,"accessible","medium","f8",0,0,0,0,0,0,0,0,0
"135","79.h6","Acanthurus nigrofuscus",0,"blank",79,"accessible","medium","h6",0,1,0,0,1,0,0,0,0
"136","79.h8","Acanthurus nigrofuscus",0,"blank",79,"accessible","medium","h8",0,0,0,0,0,0,0,0,0
"137","80.b2","Acanthurus nigrofuscus",0,"black",80,"accessible","large","b2",1,4,0,1,3,0,0,1,0
"138","80.b6","Acanthurus nigrofuscus",0,"black",80,"accessible","large","b6",1,5,0,1,5,0,0,0,0
"139","80.b8","Acanthurus nigrofuscus",0,"black",80,"accessible","large","b8",0,1,0,0,1,0,0,0,0
"140","80.c1","Acanthurus nigrofuscus",0,"black",80,"accessible","large","c1",0,0,0,0,0,0,0,0,0
"141","80.c4","Acanthurus nigrofuscus",0,"black",80,"accessible","large","c4",0,2,0,0,2,0,0,0,0
"142","80.c6","Acanthurus nigrofuscus",0,"black",80,"accessible","large","c6",0,1,0,0,1,0,0,0,0
"143","80.c7","Acanthurus nigrofuscus",0,"black",80,"accessible","large","c7",0,4,0,0,3,0,0,1,0
"144","80.d1","Acanthurus nigrofuscus",0,"black",80,"accessible","large","d1",0,1,0,0,1,0,0,0,0
"145","80.d7","Acanthurus nigrofuscus",0,"black",80,"accessible","large","d7",0,0,0,0,0,0,0,0,0
"146","80.d8","Acanthurus nigrofuscus",0,"black",80,"accessible","large","d8",0,4,0,0,4,0,0,0,0
"147","80.e1","Acanthurus nigrofuscus",0,"black",80,"accessible","large","e1",0,1,0,0,1,0,0,0,0
"148","80.e2","Acanthurus nigrofuscus",0,"black",80,"accessible","large","e2",2,0,1,2,0,1,0,0,0
"149","80.e4","Acanthurus nigrofuscus",0,"black",80,"accessible","large","e4",1,5,0,1,5,0,0,0,0
"150","80.f3","Acanthurus nigrofuscus",0,"black",80,"accessible","large","f3",1,1,0,1,1,0,0,0,0
"151","80.f5","Acanthurus nigrofuscus",0,"black",80,"accessible","large","f5",0,2,0,0,1,0,0,1,0
"152","80.f6","Acanthurus nigrofuscus",0,"black",80,"accessible","large","f6",0,1,0,0,1,0,0,0,0
"153","80.f8","Acanthurus nigrofuscus",0,"black",80,"accessible","large","f8",0,3,0,0,3,0,0,0,0
"154","80.g1","Acanthurus nigrofuscus",0,"black",80,"accessible","large","g1",0,0,0,0,0,0,0,0,0
"155","80.g3","Acanthurus nigrofuscus",0,"black",80,"accessible","large","g3",0,1,0,0,1,0,0,0,0
"156","80.g4","Acanthurus nigrofuscus",0,"black",80,"accessible","large","g4",2,2,0,2,2,0,0,0,0
"157","80.g5","Acanthurus nigrofuscus",0,"black",80,"accessible","large","g5",0,0,0,0,0,0,0,0,0
"158","80.g8","Acanthurus nigrofuscus",0,"black",80,"accessible","large","g8",1,2,0,1,2,0,0,0,0
"159","80.h7","Acanthurus nigrofuscus",0,"black",80,"accessible","large","h7",1,2,0,1,2,0,0,0,0
"160","80.i3","Acanthurus nigrofuscus",0,"black",80,"accessible","large","i3",0,0,0,0,0,0,0,0,0
"161","80.i4","Acanthurus nigrofuscus",0,"black",80,"accessible","large","i4",0,0,0,0,0,0,0,0,0
"162","80.i5","Acanthurus nigrofuscus",0,"black",80,"accessible","large","i5",0,0,0,0,0,0,0,0,0
"163","107.b6","Chlorurus sordidus",1,"black",107,"accessible","medium","b6",0,0,0,0,0,0,0,0,0
"164","107.d5","Chlorurus sordidus",0,"black",107,"accessible","medium","d5",1,0,0,1,0,0,0,0,0
"165","107.e2","Chlorurus sordidus",1,"black",107,"accessible","medium","e2",1,0,0,1,0,0,0,0,0
"166","107.e3","Chlorurus sordidus",4,"black",107,"accessible","medium","e3",0,0,0,0,0,0,0,0,0
"167","107.f2","Chlorurus sordidus",3,"black",107,"accessible","medium","f2",1,1,0,1,1,0,0,0,0
"168","107.f6","Chlorurus sordidus",0,"black",107,"accessible","medium","f6",0,0,0,0,0,0,0,0,0
"169","107.f8","Chlorurus sordidus",0,"black",107,"accessible","medium","f8",0,0,0,0,0,0,0,0,0
"170","107.g1","Chlorurus sordidus",2,"black",107,"accessible","medium","g1",0,0,0,0,0,0,0,0,0
"171","107.g2","Chlorurus sordidus",0,"black",107,"accessible","medium","g2",2,0,0,2,0,0,0,0,0
"172","107.g3","Chlorurus sordidus",0,"black",107,"accessible","medium","g3",0,0,0,0,0,0,0,0,0
"173","107.g7","Chlorurus sordidus",0,"black",107,"accessible","medium","g7",0,0,0,0,0,0,0,0,0
"174","107.h1","Chlorurus sordidus",0,"black",107,"accessible","medium","h1",0,0,0,0,0,0,0,0,0
"175","107.h4","Chlorurus sordidus",0,"black",107,"accessible","medium","h4",0,0,0,0,0,0,0,0,0
"176","107.i2","Chlorurus sordidus",0,"black",107,"accessible","medium","i2",1,0,0,1,0,0,0,0,0
"177","107.i3","Chlorurus sordidus",0,"black",107,"accessible","medium","i3",0,0,0,0,0,0,0,0,0
"178","107.i4","Chlorurus sordidus",0,"black",107,"accessible","medium","i4",0,0,0,0,0,0,0,0,0
"179","107.i5","Chlorurus sordidus",0,"black",107,"accessible","medium","i5",0,0,0,0,0,0,0,0,0
"180","107.i7","Chlorurus sordidus",0,"black",107,"accessible","medium","i7",0,0,0,0,0,0,0,0,0
"181","18.a4","Chlorurus sordidus",0,"blank",18,"accessible","small","a4",0,0,0,0,0,0,0,0,0
"182","18.b1","Chlorurus sordidus",0,"blank",18,"accessible","small","b1",1,0,0,0,0,0,1,0,0
"183","18.b2","Chlorurus sordidus",0,"blank",18,"accessible","small","b2",0,0,0,0,0,0,0,0,0
"184","18.b4","Chlorurus sordidus",0,"blank",18,"accessible","small","b4",0,1,0,0,1,0,0,0,0
"185","18.b6","Chlorurus sordidus",0,"blank",18,"accessible","small","b6",0,0,0,0,0,0,0,0,0
"186","18.b8","Chlorurus sordidus",0,"blank",18,"accessible","small","b8",0,1,0,0,1,0,0,0,0
"187","18.c1","Chlorurus sordidus",0,"blank",18,"accessible","small","c1",0,0,0,0,0,0,0,0,0
"188","18.c5","Chlorurus sordidus",0,"blank",18,"accessible","small","c5",0,3,0,0,3,0,0,0,0
"189","18.c7","Chlorurus sordidus",0,"blank",18,"accessible","small","c7",0,1,0,0,1,0,0,0,0
"190","18.d1","Chlorurus sordidus",0,"blank",18,"accessible","small","d1",0,1,0,0,1,0,0,0,0
"191","18.d4","Chlorurus sordidus",0,"blank",18,"accessible","small","d4",0,1,0,0,1,0,0,0,0
"192","18.e1","Chlorurus sordidus",0,"blank",18,"accessible","small","e1",0,0,0,0,0,0,0,0,0
"193","18.f4","Chlorurus sordidus",0,"blank",18,"accessible","small","f4",0,2,0,0,2,0,0,0,0
"194","18.f6","Chlorurus sordidus",0,"blank",18,"accessible","small","f6",0,0,0,0,0,0,0,0,0
"195","18.g5","Chlorurus sordidus",0,"blank",18,"accessible","small","g5",0,1,0,0,1,0,0,0,0
"196","18.g7","Chlorurus sordidus",0,"blank",18,"accessible","small","g7",4,0,0,3,0,0,1,0,0
"197","18.h2","Chlorurus sordidus",0,"blank",18,"accessible","small","h2",0,1,0,0,1,0,0,0,0
"198","18.h6","Chlorurus sordidus",0,"blank",18,"accessible","small","h6",0,1,0,0,1,0,0,0,0
"199","18.h8","Chlorurus sordidus",0,"blank",18,"accessible","small","h8",0,1,0,0,1,0,0,0,0
"200","18.i4","Chlorurus sordidus",0,"blank",18,"accessible","small","i4",1,1,0,1,1,0,0,0,0
"201","18.i5","Chlorurus sordidus",0,"blank",18,"accessible","small","i5",1,0,0,1,0,0,0,0,0
"202","18.i6","Chlorurus sordidus",0,"blank",18,"accessible","small","i6",1,2,0,1,2,0,0,0,0
"203","44.a1","Chlorurus sordidus",0,"red",44,"accessible","medium","a1",0,0,0,0,0,0,0,0,0
"204","44.b3","Chlorurus sordidus",0,"red",44,"accessible","medium","b3",1,0,0,1,0,0,0,0,0
"205","44.b5","Chlorurus sordidus",0,"red",44,"accessible","medium","b5",0,2,0,0,2,0,0,0,0
"206","44.b7","Chlorurus sordidus",0,"red",44,"accessible","medium","b7",0,1,0,0,1,0,0,0,0
