"","Date","Reef","Video_code","colour","Species","Individual","fishlength.cm","tile.kind","tile.number","Location","Unique.location","number.bites","length.video.h.min.sec","length.video.min","comment","parrot.phase","Tile.kind","Location.kind"
"144","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","h8","71.h8",2,"0:26:05",26.08,"","","large.more","crown"
"145","19.04.2018","LighthouseReef","red-topleft#2","red","Ctenochaetus striatus","4",17,"large crevice","71","a4","71.a4",1,"0:26:05",26.08,"","","large.more","outside"
"146","19.04.2018","LighthouseReef","red-topleft#2","red","Ctenochaetus striatus","4",17,"large crevice","71","b4","71.b4",1,"0:26:05",26.08,"","","large.more","crown"
"147","19.04.2018","LighthouseReef","red-topleft#2","red","Ctenochaetus striatus","7",15,"large crevice","71","b5","71.b5",1,"0:26:05",26.08,"","","large.more","crown"
"148","19.04.2018","LighthouseReef","red-topleft#2","red","Ctenochaetus striatus","4",17,"large crevice","71","b6","71.b6",1,"0:26:05",26.08,"","","large.more","crown"
"149","19.04.2018","LighthouseReef","red-topleft#2","red","Ctenochaetus striatus","7",15,"large crevice","71","b6","71.b6",1,"0:26:05",26.08,"","","large.more","crown"
"150","19.04.2018","LighthouseReef","red-topleft#2","red","Ctenochaetus striatus","4",17,"large crevice","71","b7","71.b7",2,"0:26:05",26.08,"","","large.more","crown"
"151","19.04.2018","LighthouseReef","red-topleft#2","red","Ctenochaetus striatus","7",15,"large crevice","71","b7","71.b7",1,"0:26:05",26.08,"","","large.more","crown"
"152","19.04.2018","LighthouseReef","red-topleft#2","red","Ctenochaetus striatus","7",15,"large crevice","71","b8","71.b8",1,"0:26:05",26.08,"","","large.more","crown"
"153","19.04.2018","LighthouseReef","red-topleft#2","red","Ctenochaetus striatus","4",17,"large crevice","71","c3","71.c3",2,"0:26:05",26.08,"","","large.more","crown"
"154","19.04.2018","LighthouseReef","red-topleft#2","red","Ctenochaetus striatus","4",17,"large crevice","71","c4","71.c4",2,"0:26:05",26.08,"","","large.more","crown"
"155","19.04.2018","LighthouseReef","red-topleft#2","red","Ctenochaetus striatus","4",17,"large crevice","71","d2","71.d2",1,"0:26:05",26.08,"","","large.more","crown"
"156","19.04.2018","LighthouseReef","red-topleft#2","red","Ctenochaetus striatus","7",15,"large crevice","71","d2","71.d2",1,"0:26:05",26.08,"","","large.more","crown"
"157","19.04.2018","LighthouseReef","red-topleft#2","red","Ctenochaetus striatus","4",17,"large crevice","71","d4","71.d4",1,"0:26:05",26.08,"","","large.more","crown"
"158","19.04.2018","LighthouseReef","red-topleft#2","red","Ctenochaetus striatus","4",17,"large crevice","71","d4","71.d4",2,"0:26:05",26.08,"","","large.more","crown"
"159","19.04.2018","LighthouseReef","red-topleft#2","red","Ctenochaetus striatus","7",15,"large crevice","71","d6","71.d6",1,"0:26:05",26.08,"","","large.more","targetcrevice"
