"","colour.in.videos","tile.number","Treatment","Crevice.kind","Location","number.LOB.before","number.otherMA.before","number.unknown.before","number.Lob.after","number.otherMA.after","number.unknown.after","number.LOB.removed","number.otherMA.removed","number.unknown.removed","Species","sumbites"
"188","red","71","accessible","large","b7",0,7,0,0,7,0,0,0,0,"Zebrasoma scopas",2
"189","red","71","accessible","large","b8",2,1,1,2,1,1,0,0,0,"Acanthurus nigrofuscus",5
"190","red","71","accessible","large","b8",2,1,1,2,1,1,0,0,0,"Ctenochaetus striatus",2
"191","red","71","accessible","large","b9",0,0,0,0,0,0,0,0,0,"Acanthurus nigrofuscus",3
"192","red","71","accessible","large","b9",0,0,0,0,0,0,0,0,0,"Ctenochaetus striatus",1
"193","red","71","accessible","large","c1",2,2,0,2,2,0,0,0,0,NA,NA
"194","red","71","accessible","large","c2",2,1,4,2,1,4,0,0,0,"Ctenochaetus striatus",5
"195","red","71","accessible","large","c3",1,0,0,1,0,0,0,0,0,"Acanthurus nigrofuscus",1
"196","red","71","accessible","large","c3",1,0,0,1,0,0,0,0,0,"Ctenochaetus striatus",4
"197","red","71","accessible","large","c3",1,0,0,1,0,0,0,0,0,"Zebrasoma scopas",1
"198","red","71","accessible","large","c4",0,1,0,0,1,0,0,0,0,"Acanthurus nigrofuscus",6
"199","red","71","accessible","large","c4",0,1,0,0,1,0,0,0,0,"Ctenochaetus striatus",5
"200","red","71","accessible","large","c4",0,1,0,0,1,0,0,0,0,"Zebrasoma scopas",2
"201","red","71","accessible","large","c5",2,1,0,1,1,0,1,0,0,"Ctenochaetus striatus",1
"202","red","71","accessible","large","c5",2,1,0,1,1,0,1,0,0,"Zebrasoma scopas",1
"203","red","71","accessible","large","c6",1,0,0,1,0,0,0,0,0,"Acanthurus nigrofuscus",1
"204","red","71","accessible","large","c6",1,0,0,1,0,0,0,0,0,"Ctenochaetus striatus",2
"205","red","71","accessible","large","c7",1,0,0,1,0,0,0,0,0,"Acanthurus nigrofuscus",3
"206","red","71","accessible","large","c7",1,0,0,1,0,0,0,0,0,"Ctenochaetus striatus",3
"207","red","71","accessible","large","c7",1,0,0,1,0,0,0,0,0,"Zebrasoma scopas",2
"208","red","71","accessible","large","c8",0,7,0,0,7,0,0,0,0,"Acanthurus nigrofuscus",4
"209","red","71","accessible","large","c8",0,7,0,0,7,0,0,0,0,"Ctenochaetus striatus",4
"210","red","71","accessible","large","c8",0,7,0,0,7,0,0,0,0,"Zebrasoma scopas",10
"211","red","71","accessible","large","c9",0,1,0,0,1,0,0,0,0,"Ctenochaetus striatus",1
"212","red","71","accessible","large","d1",1,0,0,1,0,0,0,0,0,NA,NA
"213","red","71","accessible","large","d2",3,7,0,3,7,0,0,0,0,"Ctenochaetus striatus",12
"214","red","71","accessible","large","d3",4,1,0,4,1,0,0,0,0,"Ctenochaetus striatus",1
"215","red","71","accessible","large","d4",2,4,0,2,2,0,0,2,0,"Acanthurus nigrofuscus",4
